Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
0,6,3,0,F
1,2,3,1,F
2,6,5,1,F
2,1,4,2,F
0,6,3,1,F
2,3,1,2,F
0,4,0,1,F
2,4,4,2,F
2,6,2,0,F
1,4,5,1,F
0,4,2,0,F
2,4,2,0,F
2,4,5,0,F
2,0,5,1,F
0,6,0,1,F
2,3,5,1,F
0,4,5,0,F
0,6,2,1,F
0,6,2,1,F
0,4,1,0,F
0,4,0,2,F
2,3,4,2,F
0,6,3,1,F
2,4,2,1,F
0,1,4,0,F
2,5,4,1,F
0,4,0,3,F
0,4,1,3,F
0,4,1,1,F
0,0,1,2,F
2,6,2,1,F
1,6,0,1,F
0,5,0,1,F
2,5,5,3,M
1,2,0,0,M
2,0,2,1,M
1,6,1,1,M
0,4,2,2,M
0,4,4,2,M
2,6,3,0,M
0,6,3,1,M
1,4,1,0,M
2,5,1,1,M
0,6,5,0,M
0,1,0,3,M
0,2,0,1,M
0,2,5,1,M
0,5,4,0,M
0,6,1,3,M
2,2,0,1,M
0,5,1,1,M
0,6,1,1,M
0,2,1,3,M
2,6,0,2,M
0,0,1,2,M
0,0,2,2,M
2,1,2,2,M
2,0,3,2,M
2,3,3,1,M
0,4,4,3,M
0,0,4,1,M
0,6,3,1,M
0,2,0,1,M
1,2,1,2,M
0,6,5,1,M
0,0,0,1,M
